domain,subject,issuer,version,serial_number,not_before,not_after
gov.br,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,153000549611226544087872427626,2018-09-19 00:00:00,2028-01-28 12:00:00
gov.br,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
livescore.in,CN=*.livescore.in,"CN=R10,O=Let's Encrypt,C=US",v3,372137940585103742895847936806826418572229,2024-07-21 04:23:13,2024-10-19 04:23:12
livescore.in,"CN=R10,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,100566080436859127493189557861323994576,2024-03-13 00:00:00,2027-03-12 23:59:59
lotterysambadresult.in,CN=lotterysambadresult.in,"CN=E5,O=Let's Encrypt,C=US",v3,348704920678684255844433536150646021576568,2024-07-13 11:32:51,2024-10-11 11:32:50
lotterysambadresult.in,"CN=E5,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,174873564306387906651619802726858882526,2024-03-13 00:00:00,2027-03-12 23:59:59
lotterysambadresult.in,"CN=ISRG Root X1,O=Internet Security Research Group,C=US","CN=DST Root CA X3,O=Digital Signature Trust Co.",v3,85078200265644417569109389142156118711,2021-01-20 19:14:03,2024-09-30 18:14:03
sattasport.in,CN=sattasport.in,"CN=WE1,O=Google Trust Services,C=US",v3,78893293069075913069652735579379565715,2024-07-06 23:21:03,2024-10-04 23:21:02
sattasport.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
sattasport.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
uol.com.br,CN=uol.com.br,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,5515244402479858761995092100506966669,2024-02-16 00:00:00,2025-03-09 23:59:59
uol.com.br,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,14816627491795588044059060260691382010,2017-11-02 12:24:33,2027-11-02 12:24:33
uol.com.br,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,4293743540046975378534879503202253541,2013-08-01 12:00:00,2038-01-15 12:00:00
ndtv.in,"CN=ndtv.com,O=NDTV Convergence Limited,L=New Delhi,ST=Delhi,C=IN","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",v3,6248054018074128993841550173579725370,2024-01-31 00:00:00,2025-01-31 23:59:59
ndtv.in,"CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US","CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,9101305761976670746388865003982847684,2021-04-14 00:00:00,2031-04-13 23:59:59
xvideosporno.blog.br,CN=xvideosporno.blog.br,"CN=E6,O=Let's Encrypt,C=US",v3,300231678503598776612983719095422214739694,2024-07-29 22:27:59,2024-10-27 22:27:58
xvideosporno.blog.br,"CN=E6,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,234397126118090224789023519560838753080,2024-03-13 00:00:00,2027-03-12 23:59:59
xvideosporno.blog.br,"CN=ISRG Root X1,O=Internet Security Research Group,C=US","CN=DST Root CA X3,O=Digital Signature Trust Co.",v3,85078200265644417569109389142156118711,2021-01-20 19:14:03,2024-09-30 18:14:03
amazon.com.br,CN=*.by.peg.a2z.com,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",v3,2514481771179351731745003144457831514,2024-07-08 00:00:00,2025-06-19 23:59:59
amazon.com.br,"CN=Amazon RSA 2048 M01,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129328851546858514271303855646110030630415,2022-08-23 22:21:28,2030-08-23 22:21:28
amazon.com.br,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
amazon.com.br,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
brainly.com.br,CN=brainly.com.br,"CN=WE1,O=Google Trust Services,C=US",v3,11917468305965245452783171544695055867,2024-06-07 23:31:41,2024-09-05 23:31:40
brainly.com.br,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
brainly.com.br,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
imgsrc.ru,CN=imgsrc.ru,"CN=R11,O=Let's Encrypt,C=US",v3,360127804890153503844776669628080998211637,2024-08-01 07:15:44,2024-10-30 07:15:43
imgsrc.ru,"CN=R11,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,184083759606652600789093070426744763640,2024-03-13 00:00:00,2027-03-12 23:59:59
produto.mercadolivre.com.br,CN=*.mercadolivre.com.br,"CN=Amazon RSA 2048 M02,O=Amazon,C=US",v3,9286416247346593545395077004758504862,2023-12-05 00:00:00,2025-01-03 23:59:59
produto.mercadolivre.com.br,"CN=Amazon RSA 2048 M02,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129353110899469622597955040406457904926625,2022-08-23 22:25:30,2030-08-23 22:25:30
produto.mercadolivre.com.br,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
produto.mercadolivre.com.br,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
m.ok.ru,"CN=*.ok.ru,O=VK LLC,L=Moscow,ST=Moscow,C=RU","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,725507297119307483522352310,2023-10-04 08:36:03,2024-10-02 09:21:02
m.ok.ru,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
m.ok.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,153000549611226544087872427626,2018-09-19 00:00:00,2028-01-28 12:00:00
olx.com.br,CN=olx.com.br,"CN=Amazon RSA 2048 M02,O=Amazon,C=US",v3,12168895741593539141222130100274804483,2024-03-19 00:00:00,2025-04-17 23:59:59
olx.com.br,"CN=Amazon RSA 2048 M02,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129353110899469622597955040406457904926625,2022-08-23 22:25:30,2030-08-23 22:25:30
olx.com.br,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
olx.com.br,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
m.magazineluiza.com.br,CN=*.magazineluiza.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,307100391911517553274560217904197121111,2024-06-06 00:00:00,2025-07-06 23:59:59
m.magazineluiza.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB","CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",v3,166627644428940058458651716034439089575,2018-11-02 00:00:00,2030-12-31 23:59:59
m.magazineluiza.com.br,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,76359301477803385872276235234032301461,2019-03-12 00:00:00,2028-12-31 23:59:59
m.magazineluiza.com.br,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,1,2004-01-01 00:00:00,2028-12-31 23:59:59
pikabu.ru,CN=pikabu.ru,"CN=R11,O=Let's Encrypt,C=US",v3,400541235777951399681865807597755317595602,2024-08-01 07:08:04,2024-10-30 07:08:03
pikabu.ru,"CN=R11,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,184083759606652600789093070426744763640,2024-03-13 00:00:00,2027-03-12 23:59:59
flashscore.com.br,CN=*.flashscore.com.br,"CN=R10,O=Let's Encrypt,C=US",v3,385571268894243128846077580892710862700205,2024-07-02 04:50:37,2024-09-30 04:50:36
flashscore.com.br,"CN=R10,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,100566080436859127493189557861323994576,2024-03-13 00:00:00,2027-03-12 23:59:59
aajtak.in,"CN=www.aajtak.in,O=T.V. Today Network Limited,L=Noida,ST=Uttar Pradesh,C=IN","CN=GeoTrust ECC CA 2018,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,16276767827626712427634833749810821207,2024-06-14 00:00:00,2025-06-19 23:59:59
aajtak.in,"CN=GeoTrust ECC CA 2018,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,20084456394114493592413865692264783194,2017-11-06 12:24:09,2027-11-06 12:24:09
satta-king-fixed-no.in,CN=satta-king-fixed-no.in,"CN=WE1,O=Google Trust Services,C=US",v3,163676569992055877053556794789498259605,2024-07-08 16:43:16,2024-10-06 16:43:15
satta-king-fixed-no.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
satta-king-fixed-no.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
ozon.ru,"CN=*.ozon.ru,O=Internet Solutions LLC,L=Moscow,ST=Moscow,C=RU","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,23974565839974776879624415686,2023-09-21 15:51:06,2024-10-22 15:51:05
ozon.ru,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
ozon.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,4835703278459759426209954,2009-03-18 10:00:00,2029-03-18 10:00:00
jusbrasil.com.br,CN=jusbrasil.com.br,"CN=E5,O=Let's Encrypt,C=US",v3,357029449576085130913656755214771715833897,2024-06-14 22:27:48,2024-09-12 22:27:47
jusbrasil.com.br,"CN=E5,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,174873564306387906651619802726858882526,2024-03-13 00:00:00,2027-03-12 23:59:59
jusbrasil.com.br,"CN=ISRG Root X1,O=Internet Security Research Group,C=US","CN=DST Root CA X3,O=Digital Signature Trust Co.",v3,85078200265644417569109389142156118711,2021-01-20 19:14:03,2024-09-30 18:14:03
cursos.alura.com.br,CN=alura.com.br,"CN=WE1,O=Google Trust Services,C=US",v3,88744691964625788056043058150184148747,2024-07-08 02:02:46,2024-10-06 02:02:45
cursos.alura.com.br,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
cursos.alura.com.br,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
amazon.in,CN=*.cy.peg.a2z.com,"CN=Amazon RSA 2048 M01,O=Amazon,C=US",v3,8070848586024598052393755357944157398,2023-11-03 00:00:00,2024-10-25 23:59:59
amazon.in,"CN=Amazon RSA 2048 M01,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129328851546858514271303855646110030630415,2022-08-23 22:21:28,2030-08-23 22:21:28
amazon.in,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
amazon.in,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
spboss.in,CN=spboss.in,"CN=WE1,O=Google Trust Services,C=US",v3,70684563574864414078965304831935232731,2024-06-28 10:56:50,2024-09-26 10:56:49
spboss.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
spboss.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
hibiny.ru,CN=hibiny.ru,"CN=WE1,O=Google Trust Services,C=US",v3,67240611884756249802047860382051401945,2024-07-03 06:37:49,2024-10-01 06:37:48
hibiny.ru,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
hibiny.ru,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
google.ru,CN=*.google.com.ru,"CN=WR2,O=Google Trust Services,C=US",v3,247441835119114334158942551122811627102,2024-07-30 12:53:38,2024-10-22 12:53:37
google.ru,"CN=WR2,O=Google Trust Services,C=US","CN=GTS Root R1,O=Google Trust Services LLC,C=US",v3,170058220837755766831192027518741805976,2023-12-13 09:00:00,2029-02-20 14:00:00
google.ru,"CN=GTS Root R1,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,159159747900478145820483398898491642637,2020-06-19 00:00:42,2028-01-28 00:00:42
unisa.ac.za,"CN=*.unisa.ac.za,O=University of South Africa,ST=Gauteng,C=ZA","CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,242437244061182086007446941482843414154,2024-03-22 00:00:00,2025-03-22 23:59:59
unisa.ac.za,"CN=Sectigo RSA Organization Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB","CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",v3,25906064879583303349170707072060521101,2018-11-02 00:00:00,2030-12-31 23:59:59
unisa.ac.za,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,76359301477803385872276235234032301461,2019-03-12 00:00:00,2028-12-31 23:59:59
unisa.ac.za,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,1,2004-01-01 00:00:00,2028-12-31 23:59:59
queropassagem.com.br,CN=*.queropassagem.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,281169906374237420316332824073626112447,2024-04-19 00:00:00,2025-05-09 23:59:59
queropassagem.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB","CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",v3,166627644428940058458651716034439089575,2018-11-02 00:00:00,2030-12-31 23:59:59
queropassagem.com.br,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,76359301477803385872276235234032301461,2019-03-12 00:00:00,2028-12-31 23:59:59
queropassagem.com.br,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,1,2004-01-01 00:00:00,2028-12-31 23:59:59
elo7.com.br,CN=*.elo7.com.br,"CN=Amazon RSA 2048 M03,O=Amazon,C=US",v3,19559130328190947952144887867464775876,2024-01-01 00:00:00,2025-01-28 23:59:59
elo7.com.br,"CN=Amazon RSA 2048 M03,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129356476704345391986644047206454194698629,2022-08-23 22:26:04,2030-08-23 22:26:04
elo7.com.br,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
elo7.com.br,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
netshoes.com.br,CN=*.netshoes.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,2849281248373317380936049998737738517,2024-07-03 00:00:00,2025-08-02 23:59:59
netshoes.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB","CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",v3,166627644428940058458651716034439089575,2018-11-02 00:00:00,2030-12-31 23:59:59
netshoes.com.br,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,76359301477803385872276235234032301461,2019-03-12 00:00:00,2028-12-31 23:59:59
netshoes.com.br,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,1,2004-01-01 00:00:00,2028-12-31 23:59:59
kaluga-poisk.ru,CN=crm.kaluga-poisk.ru,"CN=R3,O=Let's Encrypt,C=US",v3,317509289676949360702870804055085109060784,2024-06-03 07:46:38,2024-09-01 07:46:37
kaluga-poisk.ru,"CN=R3,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,192961496339968674994309121183282847578,2020-09-04 00:00:00,2025-09-15 16:00:00
mk.ru,CN=*.mk.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE",v3,20165685449131872105708442353,2023-07-19 11:35:24,2024-08-19 11:35:23
mk.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,166554658373203964493672915842458540151,2022-10-12 03:49:43,2027-10-12 00:00:00
mk.ru,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
baji999.in,CN=baji999.in,"CN=WE1,O=Google Trust Services,C=US",v3,35527679207543036517946145581994564867,2024-06-23 07:19:28,2024-09-21 07:19:27
baji999.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
baji999.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
monitordomercado.com.br,CN=monitordomercado.com.br,"CN=WE1,O=Google Trust Services,C=US",v3,187207583227535785534971373158695794274,2024-07-18 23:55:01,2024-10-16 23:55:00
monitordomercado.com.br,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
monitordomercado.com.br,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
tripadvisor.in,"CN=tripadvisor.com,O=Tripadvisor LLC,L=Needham Heights,ST=Massachusetts,C=US","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,5135356317979781922456881156,2024-01-25 11:37:01,2025-02-25 10:41:03
tripadvisor.in,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
