domain,subject,issuer,version,serial_number,not_before,not_after
disk.yandex.ru,"CN=disk.yandex.ru,O=YANDEX LLC,L=Moscow,ST=Moscow,C=RU","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,8506958347391785851212375400,2024-05-16 12:21:12,2024-12-16 12:21:12
disk.yandex.ru,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
disk.yandex.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,153000549611226544087872427626,2018-09-19 00:00:00,2028-01-28 12:00:00
parivahan.gov.in,"CN=*.parivahan.gov.in,O=National Informatics Centre,L=New Delhi,ST=Delhi,C=IN","CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US",v3,7512526264799627840697529796532306672,2023-10-20 00:00:00,2024-10-05 23:59:59
parivahan.gov.in,"CN=DigiCert TLS RSA SHA256 2020 CA1,O=DigiCert Inc,C=US","CN=DigiCert Global Root CA,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,9101305761976670746388865003982847684,2021-04-14 00:00:00,2031-04-13 23:59:59
webmotors.com.br,CN=webmotors.com.br,"CN=Amazon RSA 2048 M02,O=Amazon,C=US",v3,17626457887709836825249000793438917457,2024-06-05 00:00:00,2025-07-04 23:59:59
webmotors.com.br,"CN=Amazon RSA 2048 M02,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129353110899469622597955040406457904926625,2022-08-23 22:25:30,2030-08-23 22:25:30
webmotors.com.br,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
webmotors.com.br,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
hrylabour.gov.in,CN=hrylabour.gov.in,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,156726518475981034478134585453943332176,2024-03-21 00:00:00,2025-03-31 23:59:59
hrylabour.gov.in,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB","CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",v3,166627644428940058458651716034439089575,2018-11-02 00:00:00,2030-12-31 23:59:59
hrylabour.gov.in,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,76359301477803385872276235234032301461,2019-03-12 00:00:00,2028-12-31 23:59:59
hrylabour.gov.in,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,1,2004-01-01 00:00:00,2028-12-31 23:59:59
androeed.ru,CN=androeed.ru,"CN=WE1,O=Google Trust Services,C=US",v3,323365148305968491876006238952713565846,2024-07-11 02:28:15,2024-10-09 02:28:14
androeed.ru,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
androeed.ru,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
online.sberbank.ru,CN=*.online.sberbank.ru,"CN=HARICA DV TLS RSA,O=Hellenic Academic and Research Institutions CA,C=GR",v3,105012232234033644551473207857206080028,2023-09-28 05:36:20,2024-09-27 05:36:20
online.sberbank.ru,"CN=HARICA DV TLS RSA,O=Hellenic Academic and Research Institutions CA,C=GR","CN=HARICA TLS RSA Root CA 2021,O=Hellenic Academic and Research Institutions CA,C=GR",v3,28388917963433744622629073870988013660,2021-03-19 09:24:04,2036-03-15 09:24:03
online.sberbank.ru,"CN=HARICA TLS RSA Root CA 2021,O=Hellenic Academic and Research Institutions CA,C=GR","CN=Hellenic Academic and Research Institutions RootCA 2015,O=Hellenic Academic and Research Institutions Cert. Authority,L=Athens,C=GR",v3,56328771026522685634132374679777689382,2021-09-02 07:41:55,2029-08-31 07:41:54
online.sberbank.ru,"CN=Hellenic Academic and Research Institutions RootCA 2015,O=Hellenic Academic and Research Institutions Cert. Authority,L=Athens,C=GR","CN=Hellenic Academic and Research Institutions RootCA 2015,O=Hellenic Academic and Research Institutions Cert. Authority,L=Athens,C=GR",v3,0,2015-07-07 10:11:21,2040-06-30 10:11:21
gcasstudent.gujgov.edu.in,"C=IN,ST=Gujarat,L=Ahemdabad,O=KNOWLEDGE CONSORTIUM OF GUJARAT,CN=*.gujgov.edu.in","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,1194519571719873185735064877,2023-09-07 12:19:36,2024-10-08 12:19:35
gcasstudent.gujgov.edu.in,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
sevastopolmedia.ru,CN=sevastopolmedia.ru,"CN=WE1,O=Google Trust Services,C=US",v3,31407692696525122396585026442087551091,2024-07-28 21:33:44,2024-10-26 21:33:43
sevastopolmedia.ru,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
sevastopolmedia.ru,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
nrega.nic.in,CN=nrega.nic.in,"CN=R3,O=Let's Encrypt,C=US",v3,280205465957372509897996211221116287039172,2024-06-05 16:22:38,2024-09-03 16:22:37
nrega.nic.in,"CN=R3,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,192961496339968674994309121183282847578,2020-09-04 00:00:00,2025-09-15 16:00:00
social1.ne10.uol.com.br,"CN=social1.ne10.uol.com.br,O=Cloudflare\, Inc.,L=San Francisco,ST=California,C=US","CN=Cloudflare Inc ECC CA-3,O=Cloudflare\, Inc.,C=US",v3,12515018452679494978685088395628007594,2023-11-24 00:00:00,2024-11-22 23:59:59
social1.ne10.uol.com.br,"CN=Cloudflare Inc ECC CA-3,O=Cloudflare\, Inc.,C=US","CN=Baltimore CyberTrust Root,OU=CyberTrust,O=Baltimore,C=IE",v3,13580602362388610137601344763287833660,2020-01-27 12:48:08,2024-12-31 23:59:59
m.rp5.ru,CN=*.rp5.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE",v3,268012877109898794547497394,2023-08-30 08:01:41,2024-09-30 08:01:40
m.rp5.ru,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
m.rp5.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,166554658373203964493672915842458540151,2022-10-12 03:49:43,2027-10-12 00:00:00
fontanka.ru,CN=fontanka.ru,"CN=R3,O=Let's Encrypt,C=US",v3,410677209052001741819674385173134841400189,2024-06-05 11:38:20,2024-09-03 11:38:19
fontanka.ru,"CN=R3,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,192961496339968674994309121183282847578,2020-09-04 00:00:00,2025-09-15 16:00:00
sed.educacao.sp.gov.br,CN=*.educacao.sp.gov.br,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,10902161989517779589,2023-11-13 20:52:06,2024-12-14 20:52:06
sed.educacao.sp.gov.br,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US","CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,7,2011-05-03 07:00:00,2031-05-03 07:00:00
sed.educacao.sp.gov.br,"CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\, Inc.,C=US",v3,1828629,2014-01-01 07:00:00,2031-05-30 07:00:00
soccer365.ru,CN=*.soccer365.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE",v3,31659720642127805368531524187,2023-09-29 08:33:27,2024-10-30 08:33:26
soccer365.ru,"CN=AlphaSSL CA - SHA256 - G4,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,166554658373203964493672915842458540151,2022-10-12 03:49:43,2027-10-12 00:00:00
soccer365.ru,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,4835703278459707669005204,1998-09-01 12:00:00,2028-01-28 12:00:00
railyatri.in,CN=railyatri.in,"CN=WE1,O=Google Trust Services,C=US",v3,193260990322969740203613955618015184999,2024-07-25 06:58:32,2024-10-23 07:58:29
railyatri.in,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
railyatri.in,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
hh.ru,"CN=*.hh.ru,O=OOO Headhunter,L=Moscow,ST=Moscow,C=RU","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,36806653454783397119691818482,2024-03-07 14:52:22,2025-04-08 14:52:21
hh.ru,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
pravda.ru,CN=pravda.ru,"CN=WE1,O=Google Trust Services,C=US",v3,9327792067436064436593826873869064161,2024-06-12 03:49:07,2024-09-10 03:49:06
pravda.ru,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
pravda.ru,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
pfms.nic.in,"CN=pfms.gov.in,O=Controller General of Accounts,L=New Delhi,ST=Delhi,C=IN,2.5.4.5=Government Entity,2.5.4.15=Government Entity,1.3.6.1.4.1.311.60.2.1.3=IN","CN=GeoTrust EV RSA CA G2,O=DigiCert Inc,C=US",v3,5484786349135173482824825991839436309,2024-05-27 00:00:00,2025-06-27 23:59:59
pfms.nic.in,"CN=GeoTrust EV RSA CA G2,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,17778797353455473341574655806399419776,2020-07-02 12:42:57,2030-07-02 12:42:57
doramalive.ru,CN=doramalive.ru,"CN=WE1,O=Google Trust Services,C=US",v3,296314616352775588961437459421851567961,2024-07-19 09:56:39,2024-10-17 10:56:24
doramalive.ru,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
doramalive.ru,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
mausam.imd.gov.in,"C=IN,ST=Delhi,L=New Delhi,O=INDIA METEOROLOGICAL DEPARTMENT,CN=*.imd.gov.in","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,13978395207700755867533687454,2023-08-31 09:26:02,2024-10-01 09:26:01
mausam.imd.gov.in,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
exams.nta.ac.in,CN=*.nta.ac.in,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,2852858056479429719,2024-05-20 17:14:35,2025-05-20 17:41:54
exams.nta.ac.in,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US","CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,7,2011-05-03 07:00:00,2031-05-03 07:00:00
exams.nta.ac.in,"CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\, Inc.,C=US",v3,1828629,2014-01-01 07:00:00,2031-05-30 07:00:00
exams.nta.ac.in,"OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\, Inc.,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\, Inc.,C=US",v3,0,2004-06-29 17:06:20,2034-06-29 17:06:20
news.rambler.ru,CN=*.rambler.ru,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",v3,19804737558019944534088243062,2024-05-02 08:41:03,2025-06-03 08:41:02
news.rambler.ru,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,159159760133684200934995208963191631770,2020-07-28 00:00:00,2029-03-18 00:00:00
news.rambler.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,4835703278459759426209954,2009-03-18 10:00:00,2029-03-18 10:00:00
ria.ru,CN=*.ria.ru,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE",v3,28264920492492576218365941233,2024-05-06 14:54:42,2025-06-07 14:54:41
ria.ru,"CN=GlobalSign GCC R3 DV TLS CA 2020,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,159159760133684200934995208963191631770,2020-07-28 00:00:00,2029-03-18 00:00:00
ssc.nic.in,"CN=ssc.nic.in,O=STAFF SELECTION COMMISSION,L=New Delhi,ST=Delhi,C=IN","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,17626914489556493327087859244,2023-11-30 12:21:09,2024-12-31 12:21:08
ssc.nic.in,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
xvideos10.blog.br,CN=xvideos10.blog.br,"CN=WE1,O=Google Trust Services,C=US",v3,295415892135792756807858523479702265688,2024-06-16 18:08:53,2024-09-14 18:08:52
xvideos10.blog.br,"CN=WE1,O=Google Trust Services,C=US","CN=GTS Root R4,O=Google Trust Services LLC,C=US",v3,170074200136485300614847617070429275619,2023-12-13 09:00:00,2029-02-20 14:00:00
xvideos10.blog.br,"CN=GTS Root R4,O=Google Trust Services LLC,C=US","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,170001980149335831901244157168837298715,2023-11-15 03:43:21,2028-01-28 00:00:42
rajbhawanyogapledge.in,CN=rajbhawanyogapledge.in,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,5330948537340104266063670036216113940,2024-06-05 00:00:00,2025-06-04 23:59:59
rajbhawanyogapledge.in,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,14816627491795588044059060260691382010,2017-11-02 12:24:33,2027-11-02 12:24:33
rajbhawanyogapledge.in,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US","CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",v3,4293743540046975378534879503202253541,2013-08-01 12:00:00,2038-01-15 12:00:00
ssc.gov.in,"CN=ssc.gov.in,O=STAFF SELECTION COMMISSION,L=New Delhi,ST=Delhi,C=IN","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,32065973465020232877098770281,2024-02-12 08:41:04,2025-03-15 08:41:03
ssc.gov.in,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
espn.com.br,CN=*.espn.com.br,"CN=Amazon RSA 2048 M03,O=Amazon,C=US",v3,2786364635527512066993837003349055468,2023-11-18 00:00:00,2024-12-15 23:59:59
espn.com.br,"CN=Amazon RSA 2048 M03,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129356476704345391986644047206454194698629,2022-08-23 22:26:04,2030-08-23 22:26:04
espn.com.br,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
espn.com.br,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
pciconcursos.com.br,CN=*.pciconcursos.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,257087519355929629595046557435023539229,2023-12-10 00:00:00,2025-01-09 23:59:59
pciconcursos.com.br,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB","CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",v3,166627644428940058458651716034439089575,2018-11-02 00:00:00,2030-12-31 23:59:59
pciconcursos.com.br,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,76359301477803385872276235234032301461,2019-03-12 00:00:00,2028-12-31 23:59:59
metroworldnews.com.br,CN=metroworldnews.web.arc-cdn.net,"CN=R11,O=Let's Encrypt,C=US",v3,337303693702566159796834806411109044853820,2024-07-16 16:17:55,2024-10-14 16:17:54
metroworldnews.com.br,"CN=R11,O=Let's Encrypt,C=US","CN=ISRG Root X1,O=Internet Security Research Group,C=US",v3,184083759606652600789093070426744763640,2024-03-13 00:00:00,2027-03-12 23:59:59
mail.yandex.ru,"CN=mail.yandex.ru,O=YANDEX LLC,L=Moscow,ST=Moscow,C=RU","CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",v3,12052842139170626442439566638,2024-05-08 14:15:38,2024-11-05 20:59:59
mail.yandex.ru,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE","CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3",v3,153000603918210013455007253847,2018-11-21 00:00:00,2028-11-21 00:00:00
mail.yandex.ru,"CN=GlobalSign,O=GlobalSign,OU=GlobalSign Root CA - R3","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",v3,153000549611226544087872427626,2018-09-19 00:00:00,2028-01-28 12:00:00
netvasco.com.br,CN=netvasco.com.br,"CN=cPanel\, Inc. Certification Authority,O=cPanel\, Inc.,L=Houston,ST=TX,C=US",v3,205129667672860113110166213756287798102,2024-07-19 00:00:00,2024-10-17 23:59:59
netvasco.com.br,"CN=cPanel\, Inc. Certification Authority,O=cPanel\, Inc.,L=Houston,ST=TX,C=US","CN=COMODO RSA Certification Authority,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,319166835672517606797004084363566457944,2015-05-18 00:00:00,2025-05-17 23:59:59
netvasco.com.br,"CN=COMODO RSA Certification Authority,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",v3,138068127363266052427974132567073013892,2004-01-01 00:00:00,2028-12-31 23:59:59
redbus.in,CN=redbus.in,"CN=Amazon RSA 2048 M02,O=Amazon,C=US",v3,14719945526860309059573484575013988792,2023-12-15 00:00:00,2025-01-12 23:59:59
redbus.in,"CN=Amazon RSA 2048 M02,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129353110899469622597955040406457904926625,2022-08-23 22:25:30,2030-08-23 22:25:30
redbus.in,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
redbus.in,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
cleartax.in,CN=cleartax.in,"CN=Amazon RSA 2048 M03,O=Amazon,C=US",v3,17893667096325933029429161399626776276,2023-10-15 00:00:00,2024-11-11 23:59:59
cleartax.in,"CN=Amazon RSA 2048 M03,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",v3,166129356476704345391986644047206454194698629,2022-08-23 22:26:04,2030-08-23 22:26:04
cleartax.in,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",v3,144918191876577076464031512351042010504348870,2015-05-25 12:00:00,2037-12-31 01:00:00
cleartax.in,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Starfield Class 2 Certification Authority,O=Starfield Technologies\, Inc.,C=US",v3,12037640545166866303,2009-09-02 00:00:00,2034-06-28 17:39:16
nobroker.in,CN=*.nobroker.in,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",v3,125745502694810036667788378248362819942,2023-08-09 00:00:00,2024-09-08 23:59:59
